city,current_ts,country,current_pollution_aqicn,current_pollution_aqius,current_pollution_maincn,current_pollution_mainus,current_weather_hu,current_weather_ic,current_weather_pr,current_weather_tp,current_weather_wd,current_weather_ws,latitude,longitude,state
Jean,2024-03-01 11:00:00,USA,16,20,p1,p2,63,04n,1014,10,212,6.76,-115.34,35.78,Nevada
West Union,2024-03-01 17:00:00,USA,6,18,p2,p2,40,04d,1028,11,158,2.95,-80.77705,39.29647,West Virginia
Burien,2024-03-02 08:00:00,USA,3,8,p2,p2,91,04n,990,2,15,0.89,-122.34679,47.47038,Washington
Montpelier,2024-03-02 07:00:00,USA,10,29,p2,p2,74,01n,1028,-1,140,3.09,-72.575387,44.260059,Vermont
Broken Arrow,2024-03-01 10:00:00,USA,16,45,p2,p2,83,04n,1020,2,165,2.68,-95.808622,36.087489,Oklahoma
Ponca City,2024-03-01 17:00:00,USA,14,19,p1,p2,81,04d,1018,5,190,3.09,-97.081278,36.697189,Oklahoma
Jacksonville,2024-03-02 07:00:00,USA,21,57,p2,p2,90,01n,1015,3,0,0.0,-92.11015,34.8662,Arkansas
California,2024-03-01 16:00:00,USA,8,25,p2,p2,47,01d,1036,8,110,5.14,-76.50745,38.3004,Maryland
Helena-West Helena,2024-03-01 16:00:00,USA,6,17,p2,p2,81,04d,1023,5,179,2.74,-90.59,34.5291,Arkansas
Haines,2024-03-02 06:00:00,USA,5,13,p2,p2,41,01n,1014,-9,320,6.17,-135.44533,59.23595,Alaska
Easton,2024-03-02 08:00:00,USA,6,17,p2,p2,77,10n,1031,2,110,2.57,-75.2372,40.6922,Pennsylvania
Westerly,2024-03-02 05:00:00,USA,6,17,p2,p2,78,01n,1035,1,220,3.09,-71.82729,41.3776,Rhode Island
Westerly,2024-03-02 08:00:00,USA,5,16,p2,p2,81,04n,1034,2,170,2.57,-71.82729,41.3776,Rhode Island
Fort Yates,2024-03-01 17:00:00,USA,6,16,p2,p2,36,01d,1001,9,302,2.59,-100.63013,46.08694,North Dakota
Pineville,2024-03-02 05:00:00,USA,7,21,p2,p2,94,50n,1023,7,340,2.06,-80.8923,35.0832,North Carolina
Whiterocks,2024-03-01 17:00:00,USA,102,99,p1,p1,46,02d,1013,4,225,2.74,-109.906197,40.483799,Utah
Oklahoma City,2024-03-01 17:00:00,USA,25,59,p1,p2,77,50d,1018,6,170,5.66,-97.577674,35.502968,Oklahoma
Larwill,2024-03-01 10:00:00,USA,9,26,p2,p2,70,02n,1028,-2,178,3.1,-85.629444,41.169722,Indiana
Point Pleasant Beach,2024-03-01 17:00:00,USA,9,25,p2,p2,45,01d,1037,6,160,4.12,-74.04791,40.09123,New Jersey
Presque Isle,2024-03-01 11:00:00,USA,16,14,p1,p2,65,01d,1026,-17,250,3.09,-68.016195,46.682299,Maine
Millersburg,2024-03-02 06:00:00,USA,5,14,p2,p2,100,04n,985,5,200,2.24,-81.91792,40.55451,Ohio
Taylors,2024-03-02 07:00:00,USA,1,3,p2,p2,95,04n,1017,6,30,5.14,-82.29623,34.92039,South Carolina
Kenmare,2024-03-01 11:00:00,USA,1,3,p2,p2,57,04n,997,0,220,5.55,-102.402199,48.641899,North Dakota
Erath,2024-03-01 16:00:00,USA,23,59,p2,p2,95,50d,1020,10,20,5.14,-92.03596,29.95826,Louisiana
Weehawken,2024-03-02 06:00:00,USA,5,14,p2,p2,77,04n,1034,4,170,4.12,-74.02042,40.76955,New Jersey
Sandy,2024-03-02 07:00:00,USA,7,21,p2,p2,33,03n,1004,10,140,13.38,-111.8841,40.59161,Utah
Honoka'a,2024-03-02 07:00:00,USA,1,3,p2,p2,92,01n,1020,18,127,2.24,-155.46691,20.07931,Hawaii
Woodcliff Lake,2024-03-01 16:00:00,USA,10,29,p2,p2,43,01d,1037,4,160,4.12,-74.06653,41.02343,New Jersey
Warwick,2024-03-01 11:00:00,USA,5,15,p2,p2,78,01n,1035,-5,257,1.72,-74.35988,41.25648,New York
Morristown,2024-03-01 16:00:00,USA,6,17,p2,p2,59,02d,1032,-3,200,3.6,-72.62373,44.55727,Vermont
Avondale Estates,2024-03-02 06:00:00,USA,14,40,p2,p2,90,50n,1022,5,0,1.54,-84.26714,33.77149,Georgia
Fairway,2024-03-02 07:00:00,USA,41,85,p2,p2,76,01n,1015,5,200,4.12,-94.6319,39.02223,Kansas
San Juan,2024-03-02 07:00:00,USA,5,15,p2,p2,53,01n,1012,2,195,5.95,-109.80457,37.62601,Utah
East Providence,2024-03-02 05:00:00,USA,7,21,p2,p2,77,04n,1034,1,0,0.0,-71.37005,41.81371,Rhode Island
Grayson,2024-03-02 05:00:00,USA,5,15,p2,p2,97,04n,1023,6,135,1.45,-82.9883,38.2383,Kentucky
