city,current_ts,country,current_pollution_aqicn,current_pollution_aqius,current_pollution_maincn,current_pollution_mainus,current_weather_hu,current_weather_ic,current_weather_pr,current_weather_tp,current_weather_wd,current_weather_ws,latitude,longitude,state
Newcastle,2024-03-08 10:00:00,USA,5,15,p2,p2,80,04n,1022,2,150,3.6,-122.149758,47.550386,Washington
Shorewood,2024-03-07 17:00:00,USA,10,29,p2,p2,88,04d,1019,6,130,3.6,-88.20173,41.52003,Illinois
Reno,2024-03-09 08:00:00,USA,12,12,p1,p2,65,01n,1021,0,260,2.57,-119.807716,39.525082,Nevada
Reno,2024-03-09 10:00:00,USA,23,21,p1,p1,71,01n,1021,0,240,1.54,-119.807716,39.525082,Nevada
Crown Point,2024-03-09 10:00:00,USA,5,15,p2,p2,93,04n,1011,3,320,5.66,-87.36531,41.41698,Indiana
Anthony,2024-03-08 10:00:00,USA,4,12,p2,p2,65,01n,1012,6,240,2.06,-106.5992,32.0036,New Mexico
Anthony,2024-03-09 10:00:00,USA,6,17,p2,p2,68,01n,1020,5,130,4.12,-106.5992,32.0036,New Mexico
Sandpoint,2024-03-08 09:00:00,USA,2,7,p2,p2,82,01n,1030,-5,234,0.45,-116.556557,48.291821,Idaho
Billings,2024-03-08 07:00:00,USA,6,17,p2,p2,59,02n,1020,-2,0,0.0,-108.511528,45.782181,Montana
Harriman,2024-03-09 08:00:00,USA,6,18,p2,p2,99,04n,1004,11,262,1.03,-84.5439,35.9386,Tennessee
Kingston,2024-03-08 09:00:00,USA,3,10,p2,p2,80,01n,1023,2,360,0.89,-73.99736,41.92704,New York
Southington,2024-03-08 08:00:00,USA,3,10,p2,p2,80,01n,1021,3,360,3.6,-72.8776,41.59649,Connecticut
Cumberland Center,2024-03-08 07:00:00,USA,3,8,p2,p2,78,01n,1023,1,360,5.66,-70.25894,43.79647,Maine
Makawao,2024-03-08 09:00:00,USA,0,1,p2,p2,86,10n,1020,17,40,5.66,-156.31306,20.85694,Hawaii
Ainaloa,2024-03-09 08:00:00,USA,2,5,p2,p2,89,10n,1024,20,111,0.45,-154.99325,19.542307,Hawaii
Ainaloa,2024-03-09 09:00:00,USA,2,5,p2,p2,90,10n,1025,20,61,0.89,-154.99325,19.542307,Hawaii
Oak Park,2024-03-09 09:00:00,USA,2,6,p2,p2,81,04n,1018,3,320,5.66,-87.7845,41.88503,Illinois
Inverness,2024-03-09 09:00:00,USA,1,2,p2,p2,96,03n,1022,7,219,1.1,-122.9139,38.1269,California
Virginia,2024-03-09 16:00:00,USA,4,12,p2,p2,68,01d,1019,-3,320,5.14,-92.5393,47.5212,Minnesota
Decatur,2024-03-08 07:00:00,USA,16,45,p2,p2,81,01n,1012,15,110,2.57,-86.9706,34.5286,Alabama
Owensboro,2024-03-08 09:00:00,USA,7,21,p2,p2,96,10n,1014,11,140,3.09,-87.0756,37.7808,Kentucky
"Washington, D.C.",2024-03-08 08:00:00,USA,14,18,o3,o3,86,04n,1022,7,20,3.6,-76.958089,38.895683,District of Columbia
"Washington, D.C.",2024-03-08 09:00:00,USA,13,18,o3,o3,88,01n,1022,6,30,2.57,-76.958089,38.895683,District of Columbia
"Washington, D.C.",2024-03-09 10:00:00,USA,25,33,o3,o3,85,04n,1020,6,100,4.63,-76.958089,38.895683,District of Columbia
Lisbon,2024-03-09 11:00:00,USA,6,18,p2,p2,80,02n,1017,-3,329,6.01,-91.38545,41.92112,Iowa
La Center,2024-03-09 08:00:00,USA,4,13,p2,p2,81,01n,1011,5,0,0.0,-122.67038,45.86234,Washington
Pablo,2024-03-08 11:00:00,USA,57,114,p2,p2,81,03n,1030,-4,142,1.5,-114.119,47.60021,Montana
Livingston,2024-03-09 09:00:00,USA,4,12,p2,p2,54,01n,1020,-1,260,9.77,-110.56104,45.66244,Montana
Rohnert Park,2024-03-07 18:00:00,USA,2,7,p2,p2,76,04d,1016,11,290,3.6,-122.675287,38.333721,California
North Browning,2024-03-08 07:00:00,USA,2,7,p2,p2,84,01n,1026,-7,240,4.88,-113.00953,48.57025,Montana
Stoneville,2024-03-09 11:00:00,USA,4,11,p2,p2,93,10n,1015,8,70,2.06,-79.90698,36.46653,North Carolina
Everett,2024-03-08 08:00:00,USA,10,29,p2,p2,84,04n,1024,2,120,2.57,-122.20207949999995,47.9789848,Washington
Tahlequah,2024-03-08 07:00:00,USA,3,9,p2,p2,94,50n,1010,12,200,1.54,-94.986099,35.854198,Oklahoma
Ames,2024-03-08 07:00:00,USA,20,26,o3,o3,94,10n,1007,21,135,5.05,-94.74353,30.05383,Texas
Gresham,2024-03-09 10:00:00,USA,6,17,p2,p2,76,04n,1011,5,110,6.17,-122.43148,45.49818,Oregon
Sheridan,2024-03-09 09:00:00,USA,20,18,p1,p1,68,01n,1019,-5,0,0.0,-106.955933,44.815142,Wyoming
Saginaw,2024-03-08 09:00:00,USA,5,14,p2,p2,87,03n,1016,3,110,1.54,-83.95081,43.41947,Michigan
Webster,2024-03-08 08:00:00,USA,10,29,p2,p2,86,02n,1022,0,192,1.79,-77.42999,43.21229,New York
Littlestown,2024-03-09 11:00:00,USA,4,12,p2,p2,91,10d,1019,4,346,0.45,-77.08804,39.74454,Pennsylvania
East Haven,2024-03-08 08:00:00,USA,4,11,p2,p2,78,02n,1020,4,11,3.13,-72.872626,41.285914,Connecticut
Martinsburg,2024-03-09 08:00:00,USA,3,7,p2,p2,90,10n,1019,5,130,3.09,-77.958298,39.465599,West Virginia
Antelope Valley-Crestview,2024-03-08 10:00:00,USA,6,17,p2,p2,92,02n,1021,-6,180,4.12,-105.47409,44.22488,Wyoming
Woodbury,2024-03-08 10:00:00,USA,2,6,p2,p2,80,01n,1023,2,10,6.17,-73.209,41.54454,Connecticut
Deerfield,2024-03-08 10:00:00,USA,22,58,p2,p2,88,04n,1015,4,251,0.89,-89.07567,43.05194,Wisconsin
Lake Dallas,2024-03-08 09:00:00,USA,8,23,p2,p2,94,04n,1004,15,90,2.06,-97.02556,33.11929,Texas
Sharon,2024-03-08 09:00:00,USA,3,8,p2,p2,71,04n,1021,2,21,3.13,-71.17866,42.12371,Massachusetts
Fircrest,2024-03-09 16:00:00,USA,18,52,p2,p2,81,04d,1007,6,180,3.6,-122.515399,47.222644,Washington
Marengo,2024-03-09 10:00:00,USA,1,3,p2,p2,90,04n,1010,3,304,2.24,-88.60843,42.24863,Illinois
West Union,2024-03-09 16:00:00,USA,2,7,p2,p2,99,10d,1006,11,188,3.85,-80.77705,39.29647,West Virginia
Weirton,2024-03-09 09:00:00,USA,4,12,p2,p2,87,10n,1008,10,211,1.34,-80.580803,40.4231,West Virginia
Jacksonville,2024-03-08 09:00:00,USA,3,8,p2,p2,94,10n,1006,14,60,5.14,-92.11015,34.8662,Arkansas
The Crossings,2024-03-08 10:00:00,USA,6,17,p2,p2,96,50n,1014,21,0,0.0,-80.39972222,25.68333333,Florida
Savoy,2024-03-09 10:00:00,USA,3,10,p2,p2,93,04n,1007,4,320,8.75,-88.25172,40.05475,Illinois
Saint Louis,2024-03-09 11:00:00,USA,8,15,p1,p2,90,04n,1016,5,316,1.79,-90.263611,38.5425,Missouri
Underhill,2024-03-09 11:00:00,USA,28,36,o3,o3,53,04d,1016,1,140,3.58,-72.868973,44.528389,Vermont
Fairborn,2024-03-08 07:00:00,USA,9,25,p2,p2,90,04n,1018,6,150,2.57,-83.99773,39.85567,Ohio
Weymouth,2024-03-07 18:00:00,USA,16,20,o3,o3,96,50d,1012,6,20,8.23,-70.93977,42.22093,Massachusetts
Providence,2024-03-08 09:00:00,USA,3,8,p2,p2,73,01n,1034,2,20,8.23,-71.415,41.8081,Rhode Island
Knik-Fairview,2024-03-09 09:00:00,USA,5,15,p2,p2,80,01n,987,-8,0,0.0,-149.621668,61.535085,Alaska
Boise,2024-03-08 09:00:00,USA,4,10,p2,p2,86,01n,1026,-4,140,3.6,-116.213611,43.618889,Idaho
Berkley,2024-03-08 09:00:00,USA,6,17,p2,p2,76,01n,1018,5,120,2.57,-83.18354,42.50309,Michigan
Berkley,2024-03-09 16:00:00,USA,5,14,p2,p2,83,04d,1005,5,280,7.72,-83.18354,42.50309,Michigan
Nikiski,2024-03-08 11:00:00,USA,1,4,p2,p2,95,04n,994,-8,0,0.0,-151.28889,60.69028,Alaska
Vineyard,2024-03-08 07:00:00,USA,4,12,p2,p2,72,04n,1017,0,310,8.75,-111.751224,40.304575,Utah
Weehawken,2024-03-09 09:00:00,USA,4,12,p2,p2,77,03n,1026,4,130,5.14,-74.02042,40.76955,New Jersey
Lakin,2024-03-08 09:00:00,USA,6,17,p2,p2,81,04n,1017,-1,4,7.69,-101.25489,37.94058,Kansas
Baker,2024-03-09 09:00:00,USA,29,38,o3,o3,54,01n,1028,-3,56,0.62,-114.2158,39.0053,Nevada
Pace,2024-03-09 08:00:00,USA,14,41,p2,p2,96,10n,1007,21,220,6.17,-87.16108,30.59936,Florida
Brainerd,2024-03-09 10:00:00,USA,5,14,p2,p2,81,04n,1019,-6,10,5.14,-94.1433,46.3944,Minnesota
Superior,2024-03-08 10:00:00,USA,7,21,p2,p2,90,13n,1017,-1,3,8.4,-98.07004,40.02085,Nebraska
Lake Placid,2024-03-09 10:00:00,USA,4,12,p2,p2,81,04n,1020,4,160,3.38,-73.98198,44.27962,New York
Morristown,2024-03-09 16:00:00,USA,5,15,p2,p2,95,10d,1008,13,285,0.89,-83.6014,36.1144,Tennessee
Minden,2024-03-09 11:00:00,USA,15,42,p2,p2,93,03n,1019,-2,60,1.54,-119.76573,38.95407,Nevada
West Pensacola,2024-03-08 09:00:00,USA,17,49,p2,p2,94,50n,1011,16,98,2.68,-87.27969,30.42659,Florida
Anderson,2024-03-09 08:00:00,USA,0,1,p2,p2,97,10n,1010,11,110,4.63,-82.647903,34.505798,South Carolina
Corbin,2024-03-09 16:00:00,USA,1,3,p2,p2,98,04d,1008,13,290,2.06,-84.09688,36.9487,Kentucky
Saint Maries,2024-03-08 08:00:00,USA,31,72,p2,p2,90,02n,1029,-4,110,1.27,-116.885902,47.3386,Idaho
Saint Maries,2024-03-09 16:00:00,USA,9,25,p2,p2,71,04d,1015,0,97,1.83,-116.885902,47.3386,Idaho
Ashland,2024-03-09 10:00:00,USA,4,11,p2,p2,95,10n,1008,11,355,0.89,-82.6339,38.4592,Kentucky
Vinton,2024-03-09 11:00:00,USA,6,17,p2,p2,91,04n,1014,16,323,4.04,-93.58127,30.19076,Louisiana
Vinton,2024-03-09 16:00:00,USA,16,20,o3,o3,95,50d,1003,6,110,1.54,-79.884201,37.285599,Virginia
Millers Creek,2024-03-08 10:00:00,USA,3,9,p2,p2,84,04n,1022,11,40,1.54,-81.23759,36.1893,North Carolina
Hoback,2024-03-08 08:00:00,USA,4,11,p2,p2,96,03n,1034,-15,337,1.7,-110.393638,43.188272,Wyoming
East Providence,2024-03-09 10:00:00,USA,14,41,p2,p2,86,02n,1026,0,90,2.06,-71.37005,41.81371,Rhode Island
Montclair,2024-03-08 11:00:00,USA,3,9,p2,p2,77,01n,1025,2,350,3.6,-74.20903,40.82593,New Jersey
Hood River,2024-03-09 11:00:00,USA,11,33,p2,p2,83,01n,1015,1,316,2.24,-121.52146,45.7054,Oregon
Flemington,2024-03-09 08:00:00,USA,19,25,o3,o3,82,04n,1022,4,140,1.54,-74.806755,40.515251,New Jersey
Port Orchard,2024-03-08 07:00:00,USA,7,20,p2,p2,82,01n,1024,3,335,0.45,-122.63625,47.54037,Washington
Beaver Falls,2024-03-08 07:00:00,USA,10,28,p2,p2,97,04n,1020,6,83,1.79,-80.316704,40.747799,Pennsylvania
Pinedale,2024-03-08 08:00:00,USA,26,34,o3,o3,79,01n,1016,-10,300,3.09,-109.8708,42.8698,Wyoming
Pinedale,2024-03-09 16:00:00,USA,24,32,o3,o3,62,01d,1024,-6,320,2.06,-109.8708,42.8698,Wyoming
Phippsburg,2024-03-08 11:00:00,USA,22,29,o3,o3,86,01d,1024,0,0,2.57,-69.81477,43.82064,Maine
Plymouth Meeting,2024-03-08 08:00:00,USA,4,13,p2,p2,87,01n,1020,4,344,1.34,-75.3092,40.1122,Pennsylvania
Ashburn,2024-03-09 10:00:00,USA,25,33,o3,o3,82,04n,1017,5,150,4.12,-77.489998,39.024399,Virginia
North Reading,2024-03-09 09:00:00,USA,13,37,p2,p2,88,04n,1027,0,0,0.0,-71.07867,42.57509,Massachusetts
New Salem,2024-03-08 07:00:00,USA,7,21,p2,p2,89,04n,1026,-15,0,0.0,-101.4281,47.1858,North Dakota
New Salem,2024-03-09 10:00:00,USA,8,24,p2,p2,90,01n,1023,-12,0,0.0,-101.4281,47.1858,North Dakota
Williston,2024-03-08 09:00:00,USA,4,11,p2,p2,91,01n,1026,-2,0,0.0,-73.059295,44.444061,Vermont
Lodi,2024-03-09 09:00:00,USA,2,7,p2,p2,77,03n,1024,4,130,5.14,-74.0832,40.88232,New Jersey
Plains,2024-03-08 08:00:00,USA,4,12,p2,p2,83,03n,1027,-4,246,1.48,-114.88291,47.46021,Montana
Malin,2024-03-07 18:00:00,USA,4,11,p2,p2,60,04d,1018,2,327,3.13,-121.40974,42.01337,Oregon
Kuna,2024-03-08 07:00:00,USA,8,22,p2,p2,87,01n,1025,-3,100,2.57,-116.42012,43.49183,Idaho
Rock Springs,2024-03-08 07:00:00,USA,1,4,p2,p2,94,04n,1023,-2,80,2.06,-109.2029,41.58746,Wyoming
Winchester,2024-03-09 09:00:00,USA,5,16,p2,p2,96,10n,1008,11,230,2.06,-84.17965,37.99008,Kentucky
Strafford,2024-03-09 11:00:00,USA,3,8,p2,p2,79,04d,1025,0,157,3.11,-72.37787,43.86646,Vermont
West Linn,2024-03-08 09:00:00,USA,9,25,p2,p2,86,01n,1026,0,0,0.0,-122.629,45.3576,Oregon
Pine Island,2024-03-08 08:00:00,USA,16,46,p2,p2,91,04n,1005,21,153,3.19,-96.03746,30.058,Texas
Hyde Park,2024-03-08 10:00:00,USA,4,13,p2,p2,87,01n,1027,-1,360,0.45,-72.62728,44.602147,Vermont
Hoboken,2024-03-09 16:00:00,USA,34,75,p2,p2,77,04d,1021,5,120,6.17,-74.0259,40.746992,New Jersey
Rockland,2024-03-08 07:00:00,USA,0,0,p2,p2,83,01n,1022,0,10,6.69,-69.10893,44.10369,Maine
Rockland,2024-03-08 09:00:00,USA,0,0,p2,p2,79,01n,1023,0,20,6.17,-69.10893,44.10369,Maine
Rockland,2024-03-09 08:00:00,USA,4,12,p2,p2,85,01n,1028,-1,50,2.57,-69.10893,44.10369,Maine
Riverton,2024-03-08 10:00:00,USA,3,9,p2,p2,68,04n,1022,-1,40,5.14,-108.3801,43.02496,Wyoming
Riverton,2024-03-09 10:00:00,USA,10,28,p2,p2,86,04n,1023,4,110,3.6,-74.99684,40.00845,New Jersey
Casper,2024-03-08 07:00:00,USA,7,20,p2,p2,94,13n,1017,-5,80,4.63,-106.36501,42.82231,Wyoming
Scarsdale,2024-03-08 10:00:00,USA,10,28,p2,p2,84,01n,1024,2,330,4.12,-73.78458,41.0051,New York
Mansfield City,2024-03-08 10:00:00,USA,3,8,p2,p2,74,01n,1023,1,20,4.63,-72.23369,41.76593,Connecticut
Angel Fire,2024-03-09 11:00:00,USA,5,15,p2,p2,85,04n,1022,-13,0,0.0,-105.28501,36.39309,New Mexico
Owens Cross Roads,2024-03-08 11:00:00,USA,7,20,p2,p2,74,04n,1015,16,125,2.63,-86.45888,34.58815,Alabama
Raymond,2024-03-08 08:00:00,USA,6,19,p2,p2,83,04n,1024,4,105,1.66,-123.73294,46.68649,Washington
Searsmont,2024-03-09 16:00:00,USA,3,8,p2,p2,85,04d,1025,0,143,3.8,-69.19504,44.36174,Maine
Holladay,2024-03-08 08:00:00,USA,4,12,p2,p2,80,03n,1019,-3,330,2.06,-111.798697,40.664162,Utah
Palmyra,2024-03-07 18:00:00,USA,2,5,p2,p2,73,04d,1013,13,360,8.75,-75.02823,40.00706,New Jersey
Milford Mill,2024-03-08 10:00:00,USA,5,14,p2,p2,87,04n,1023,4,61,0.45,-76.76997,39.34788,Maryland
Lafayette,2024-03-08 08:00:00,USA,23,45,o3,p2,85,04n,1007,20,185,3.58,-92.042801,30.2258,Louisiana
Shorewood Hills,2024-03-08 09:00:00,USA,12,36,p2,p2,86,04n,1002,5,70,2.06,-89.44568,43.0775,Wisconsin
Harbor Springs,2024-03-09 17:00:00,USA,0,1,p2,p2,93,13d,1005,1,307,4.92,-84.992,45.43168,Michigan
Fairhope,2024-03-08 07:00:00,USA,6,17,p2,p2,96,01n,1013,13,0,0.0,-87.8706,30.4889,Alabama
Sulphur,2024-03-08 09:00:00,USA,22,29,o3,o3,96,04n,1006,21,140,7.2,-93.3719,30.1433,Louisiana
Plymouth,2024-03-09 09:00:00,USA,4,12,p2,p2,91,04n,1008,0,350,5.14,-87.97704,43.74861,Wisconsin
Millington,2024-03-08 09:00:00,USA,13,17,o3,o3,86,03n,1023,6,54,2.77,-75.797203,39.305199,Maryland
Metlakatla,2024-03-08 08:00:00,USA,0,1,p2,p2,88,10n,998,5,150,8.75,-131.57519,55.12848,Alaska
Pawtucket,2024-03-09 10:00:00,USA,9,26,p2,p2,86,04n,1026,0,90,2.06,-71.38256,41.87871,Rhode Island
Middlebury,2024-03-07 18:00:00,USA,2,5,p2,p2,77,04d,1014,10,20,8.23,-73.12761,41.52787,Connecticut
Hope,2024-03-08 09:00:00,USA,5,14,p2,p2,96,01n,1026,-6,0,0.0,-116.30712,48.24771,Idaho
West Des Moines,2024-03-09 17:00:00,USA,7,21,p2,p2,57,02d,1028,3,320,7.72,-93.71133,41.57721,Iowa
Grand Marais,2024-03-09 16:00:00,USA,3,9,p2,p2,54,01d,1016,0,360,6.17,-90.33427,47.75045,Minnesota
Fayetteville,2024-03-08 09:00:00,USA,7,21,p2,p2,94,10n,1009,12,1,0.18,-94.167436,36.011703,Arkansas
Grangeville,2024-03-09 09:00:00,USA,11,33,p2,p2,74,01n,1019,-1,0,0.0,-116.115196,45.931301,Idaho
Londonderry,2024-03-09 16:00:00,USA,1,4,p2,p2,79,04d,1019,3,145,5.23,-72.80649,43.22646,Vermont
Hurricane,2024-03-09 10:00:00,USA,4,12,p2,p2,52,01n,1025,2,45,0.89,-113.3052,37.179,Utah
Monument,2024-03-19 11:00:00,USA,0,0,p2,p2,54,01n,1013,1,340,4.12,-104.87276,39.09166,Colorado
Williamsburg,2024-03-19 13:00:00,USA,5,14,p2,p2,51,01d,1016,4,280,4.12,-76.70746,37.2707,Virginia
Sparta,2024-03-19 10:00:00,USA,4,12,p2,p2,44,01n,1004,0,230,5.14,-90.81291,43.94413,Wisconsin
Detroit Lakes,2024-03-19 13:00:00,USA,6,17,p2,p2,93,01d,1007,0,310,7.72,-95.8467,46.8511,Minnesota
Charles Town,2024-03-19 13:00:00,USA,6,17,p2,p2,58,04d,1021,2,280,7.2,-77.85972,39.28899,West Virginia
Elizabeth,2024-03-19 14:00:00,USA,11,11,n2,p2,47,03d,1008,3,290,8.75,-74.208366,40.641441,New Jersey
Highland,2024-03-19 13:00:00,USA,3,10,p2,p2,56,01n,1017,4,313,0.45,-111.79447,40.42548,Utah
Eagan,2024-03-19 12:00:00,USA,7,19,p2,p2,54,04n,1004,1,300,4.63,-93.16689,44.80413,Minnesota
Lexington,2024-03-19 14:00:00,USA,11,32,p2,p2,58,01d,1018,1,210,6.17,-84.5,38.065,Kentucky
Ballenger Creek,2024-03-19 12:00:00,USA,8,22,p2,p2,55,01d,1014,1,291,5.33,-77.43526,39.3726,Maryland
Gardnerville,2024-03-19 11:00:00,USA,3,10,p2,p2,55,01n,1022,3,84,2.24,-119.74962,38.9413,Nevada
Porterville,2024-03-19 12:00:00,USA,14,41,p2,p2,82,01n,1018,10,120,2.57,-119.055,36.0319,California
Irondale,2024-03-19 13:00:00,USA,44,91,p2,p2,72,01d,1024,0,0,0.0,-86.707647,33.558734,Alabama
New Castle,2024-03-18 16:00:00,USA,9,26,p2,p2,38,01d,1008,8,300,6.69,-75.611,39.595001,Delaware
Tempe,2024-03-19 09:00:00,USA,4,10,p2,p2,60,03n,1016,13,20,4.63,-111.9347,33.4124,Arizona
Saint George,2024-03-19 11:00:00,USA,2,6,p2,p2,88,04d,998,1,311,4.21,-69.260803,43.917953,Maine
Berkeley Springs,2024-03-19 10:00:00,USA,4,12,p2,p2,61,03n,1012,0,297,4.92,-78.199345,39.648592,West Virginia
Dover,2024-03-19 13:00:00,USA,5,15,p2,p2,59,04d,1001,2,310,6.69,-70.87367,43.19786,New Hampshire
Tuscaloosa,2024-03-19 10:00:00,USA,2,6,p2,p2,86,01n,1023,-1,0,0.0,-87.56917,33.20984,Alabama
Helotes,2024-03-19 11:00:00,USA,6,19,p2,p2,78,04n,1010,8,0,0.0,-98.7127,29.599,Texas
Franklin,2024-03-18 16:00:00,USA,0,0,p2,p2,66,02d,1024,5,342,1.79,-111.80916,42.013333,Idaho
Slidell,2024-03-19 12:00:00,USA,6,17,p2,p2,74,01d,1025,3,352,0.89,-89.745811,30.288101,Louisiana
Spearfish,2024-03-19 11:00:00,USA,4,12,p2,p2,43,01n,1018,6,270,3.6,-103.85937,44.49082,South Dakota
Belle,2024-03-19 11:00:00,USA,7,19,p2,p2,69,01n,1020,-2,230,4.12,-81.53762,38.23205,West Virginia
Goldendale,2024-03-19 10:00:00,USA,5,13,p2,p2,73,01n,1017,8,290,1.8,-120.82173,45.82068,Washington
Whitesboro,2024-03-19 09:00:00,USA,2,6,p2,p2,76,03n,1013,-2,300,7.72,-75.307895,43.126032,New York
Magna,2024-03-19 10:00:00,USA,8,23,p2,p2,61,01n,1020,5,140,3.6,-112.10161,40.70911,Utah
La Plata,2024-03-19 13:00:00,USA,4,12,p2,p2,50,01d,1015,3,282,4.27,-76.97525,38.52929,Maryland
Gulfport,2024-03-19 12:00:00,USA,5,14,p2,p2,71,01d,1025,2,310,1.54,-89.0497,30.39,Mississippi
Shanor-Northvue,2024-03-19 09:00:00,USA,9,25,p2,p2,87,04n,1013,-2,270,4.63,-79.91562,40.91045,Pennsylvania
Ridgefield,2024-03-19 11:00:00,USA,1,4,p2,p2,57,01d,1006,0,290,6.17,-73.49818,41.28148,Connecticut
Muscatine,2024-03-19 09:00:00,USA,7,20,p2,p2,51,01n,1014,-1,210,4.63,-91.0684,41.4014,Iowa
Fort Smith,2024-03-18 16:00:00,USA,5,14,p2,p2,36,01d,1029,6,340,7.2,-94.39855,35.38592,Arkansas
Rye,2024-03-19 13:00:00,USA,5,14,p2,p2,49,02d,1007,2,280,8.23,-73.68374,40.98065,New York
Moscow,2024-03-19 14:00:00,USA,6,17,p2,p2,73,01d,1015,7,50,2.57,-116.954597,46.728199,Idaho
Florence,2024-03-19 10:00:00,USA,13,17,o3,o3,50,01n,1018,3,330,4.63,-79.7673,34.2143,South Carolina
La Grange,2024-03-19 09:00:00,USA,5,15,p2,p2,61,04n,1013,-1,240,6.17,-87.86923,41.80503,Illinois
Eugene,2024-03-19 11:00:00,USA,13,38,p2,p2,94,01n,1017,7,130,4.63,-123.08377,44.0263,Oregon
Hanahan,2024-03-18 16:00:00,USA,12,34,p2,p2,54,03d,1011,20,1,2.24,-80.02203,32.91851,South Carolina
Ravalli,2024-03-19 12:00:00,USA,4,10,p2,p2,92,02n,1023,0,171,1.54,-114.12069,46.0817,Montana
Round Rock,2024-03-19 10:00:00,USA,6,17,p2,p2,78,03n,1023,6,0,0.0,-97.6789,30.50826,Texas
Kamiah,2024-03-19 10:00:00,USA,19,53,p2,p2,81,02n,1021,7,117,1.56,-116.027496,46.2094,Idaho
Kingsport,2024-03-18 16:00:00,USA,6,18,p2,p2,41,04d,1013,6,240,6.69,-82.5217,36.5408,Tennessee
Raritan,2024-03-19 13:00:00,USA,3,8,p2,p2,47,04d,1009,2,282,5.36,-74.622786,40.544741,New Jersey
Madawaska,2024-03-19 13:00:00,USA,4,11,p2,p2,82,13d,995,-1,300,5.14,-68.3211,47.3553,Maine
Bangor,2024-03-19 12:00:00,USA,1,4,p2,p2,50,02d,1013,0,287,2.24,-75.20657,40.86565,Pennsylvania
Colmar Manor,2024-03-19 13:00:00,USA,6,17,p2,p2,49,04d,1014,4,300,7.2,-76.94581,38.93317,Maryland
Jackson,2024-03-19 11:00:00,USA,9,17,p1,p2,81,01n,1024,0,140,1.54,-90.182722,32.329111,Mississippi
Gypsum,2024-03-18 16:00:00,USA,4,11,p2,p2,55,01d,1029,1,0,0.0,-106.941801,39.639076,Colorado
Greenbelt,2024-03-19 12:00:00,USA,6,16,p2,p2,60,04d,1017,2,310,5.66,-76.876874,39.010569,Maryland
Captain Cook,2024-03-19 09:00:00,USA,2,7,p2,p2,79,03n,1019,18,160,2.45,-155.892332,19.476489,Hawaii
Basalt,2024-03-19 12:00:00,USA,3,9,p2,p2,72,01n,1024,-1,146,1.4,-107.03282,39.36887,Colorado
Pahala,2024-03-19 11:00:00,USA,4,12,p2,p2,80,04n,1019,19,105,1.95,-155.4786,19.20297,Hawaii
Warren Park,2024-03-19 12:00:00,USA,4,11,p2,p2,72,02d,1017,-2,200,4.63,-86.05026,39.78199,Indiana
Upland,2024-03-19 11:00:00,USA,5,14,p2,p2,77,50n,1018,10,20,2.57,-117.6733,34.0986,California
Burns,2024-03-19 11:00:00,USA,18,52,p2,p2,84,01n,1006,-4,213,1.49,-87.31251,36.05339,Tennessee
Kansas City,2024-03-19 11:00:00,USA,11,31,p2,p2,47,01n,1015,3,220,7.2,-94.6356,39.1175,Kansas
Mabank,2024-03-19 10:00:00,USA,2,6,p2,p2,79,02n,1025,2,88,2.12,-96.10081,32.36653,Texas
Wilmington,2024-03-19 12:00:00,USA,6,18,p2,p2,60,04d,1011,2,280,4.63,-75.5581,39.7394,Delaware
Waterflow,2024-03-19 12:00:00,USA,14,18,o3,o3,59,02n,1019,2,97,3.03,-108.48175,36.75972,New Mexico
McConnelsville,2024-03-19 14:00:00,USA,7,21,p2,p2,63,04d,1017,1,236,4.47,-81.85319,39.64868,Ohio
Brookline,2024-03-18 15:00:00,USA,5,16,p2,p2,43,03d,1005,7,260,8.75,-71.10355,42.335247,Massachusetts
Brookline,2024-03-19 11:00:00,USA,1,4,p2,p2,72,03d,1003,0,305,1.79,-71.10355,42.335247,Massachusetts
Moberly,2024-03-18 15:00:00,USA,2,6,p2,p2,55,01d,1026,-2,330,6.17,-92.43824,39.41837,Missouri
Huntsville,2024-03-18 16:00:00,USA,12,20,p1,p2,52,01d,1017,8,330,4.47,-86.58594,34.7304,Alabama
Edenton,2024-03-19 11:00:00,USA,6,17,p2,p2,67,01d,1017,2,330,3.09,-76.622383,36.064197,North Carolina
Milton,2024-03-18 15:00:00,USA,4,10,p2,p2,54,04d,1009,3,259,4.47,-76.84774,41.01203,Pennsylvania
La Grande,2024-03-19 13:00:00,USA,8,22,p2,p2,71,01n,1018,0,174,1.79,-118.095206,45.339,Oregon
St Louis,2024-03-19 13:00:00,USA,20,55,p2,p2,61,01d,1018,0,220,3.09,-90.19789,38.62727,Missouri
Alsip,2024-03-19 10:00:00,USA,9,26,p2,p2,64,04n,1012,-1,230,6.69,-87.7325,41.6708,Illinois
Klamath,2024-03-19 10:00:00,USA,18,52,p2,p2,88,02n,1022,1,64,0.69,-121.65013,42.68634,Oregon
Kingston,2024-03-18 16:00:00,USA,6,16,p2,p2,44,01d,1013,8,10,4.12,-84.50854,35.88091,Tennessee
Moundsville,2024-03-18 16:00:00,USA,5,15,p2,p2,73,04d,1011,0,292,4.42,-80.7342,39.9158,West Virginia
Van Buren,2024-03-19 10:00:00,USA,4,12,p2,p2,61,01n,1023,-4,230,1.77,-91.01457,36.99561,Missouri
Newell,2024-03-19 11:00:00,USA,9,25,p2,p2,64,01d,1018,0,320,1.54,-80.73562,35.27959,North Carolina
